CHAMADO;ID_JIRA;UF;MUNICIPIO;TIPO_ETABELECIMENTO;CONCORRENTE;STATUS;DATA_INI;DATA_FIM
CON-1302;2291674;SP;Franca - SP;Prefeitura Municipal;Consignet;Ativo;24/09/2024;24/09/2029
CON-1301;2290349;PA;Novo Progresso - PA;Prefeitura Municipal;Digital Consig;Inativo;11/10/2024;28/11/2024
CON-1300;2290343;RS;Dilermando de Aguiar - RS ;Prefeitura Municipal;Consignet;Ativo;16/12/2024;16/12/2029
CON-1299;2289075;SP;SERVIÇO AUTONOMO DE ÁGUA, ESGOTO E MEIO AMBIENTE DE SERTÃOZINHO - SAEMAS - SP;Autarquia;Consignet;Ativo;08/10/2024;08/10/2029
CON-1298;2288527;SP;Ad'oro SA;Empresa Privada;Consignet;Ativo;09/10/2024;20/10/2027
CON-1297;2285434;RN;FUNDAÇÃO DE EDUCAÇÃO, TURISMO, ESPORTE E CULTURA DE BOA VISTA - RR;Autarquia;RF1 Participações;Ativo;04/10/2024;04/10/2029
CON-1296;2285433;PE;Igarassu - PE;Prefeitura Municipal;Consignet;Ativo;03/09/2024;03/09/2029
CON-1295;2284987;CE;Fortaleza - CE;Prefeitura Municipal;Safe Consig;Ativo;23/09/2024;23/09/2029
CON-1294;2284024;MT;INSTITUTO MUNICIPAL DE PREVIDÊNCIA SOCIAL DOS SERVIDORES DE LUCAS DO RIO VERDE/MT;Instituto de Previdência;Consignet;Ativo;30/09/2024;30/09/2029
CON-1293;2284019;MT;Instituto Municipal de Previdência Social dos Servidores de Lucas do Rio Verde/MT;Instituto de Previdência;Consignet;Inativo;30/09/2024;30/09/2029
CON-1292;2276350;RO;Rio Crespo - RO;Prefeitura Municipal;Consignet;Ativo;02/10/2024;02/09/2029
CON-1291;2275127;PR;Maringá - PR;Câmara Municipal;Consignet;Ativo;25/09/2024;28/01/2026
CON-1290;2275124;MG;Itaú de Minas - MG;Prefeitura Municipal;Consignet;Inativo;25/09/2024;20/11/2024
CON-1289;2274167;SP;INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO MANUEL - SP;Instituto de Previdência;Consignet;Ativo;16/09/2024;16/09/2029
CON-1288;2274144;RS;Dona Francisca - RS;Prefeitura Municipal;Consignet;Ativo;23/09/2024;23/09/2029
CON-1287;2273942;BA;Barra do Mendes - BA;Prefeitura Municipal;Fasitec;Ativo;24/09/2024;16/05/2028
CON-1286;2273939;PR;SOPREMU - SOCIEDADE PREVIDENCIARIA MUNICIPAL DE LOANDA - PR;Instituto de Previdência;Consignet;Ativo;23/09/2024;23/09/2029
CON-1285;2273330;AC;Tarauacá - AC;Prefeitura Municipal;Consignet;Ativo;04/09/2024;04/09/2029
CON-1284;2272730;SC;INSTITUTO DE PREVIDÊNCIA SOCIAL DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE BALNEÁRIO CAMBORIÚ - BCPREVI/SC ;Instituto de Previdência;Consignet;Ativo;12/09/2024;12/09/2029
CON-1283;2272724;RN;Instituto Municipal de Previdência Social dos Servidores de Mossoró - IGEPREV - RN;Instituto de Previdência;Fácil;Ativo;23/09/2024;23/09/2025
CON-1282;2272706;PA;Ponta de Pedras - PA;Prefeitura Municipal;RF1 Participações;Ativo;10/09/2024;10/09/2029
CON-1281;2272500;PE;Catende - PE;Prefeitura Municipal;Fácil;Ativo;20/09/2024;20/09/2029
CON-1280;2272461;PB;Rio Tinto - PB;Prefeitura Municipal;Fácil;Inativo;23/09/2024;14/02/2025
CON-1279;2272427;PR;Imbituva - PR;Prefeitura Municipal;Consignet;Ativo;23/09/2024;04/06/2029
CON-1278;2272421;SP;Ferraz de Vasconcelos - SP;Prefeitura Municipal;Consignet;Inativo;23/09/2024;31/01/2025
CON-1277;2272406;PR;FRIGORÍFICO ASTRA DO PARANÁ LTDA.;Empresa Privada;Consignet;Ativo;23/09/2024;28/09/2027
CON-1276;2272327;PB;ALGODÃO DE JANDAIRA IPSA - PB;Instituto de Previdência;SP Consig;Ativo;23/09/2024;20/11/2028
CON-1275;2272324;SC;SAMAE - SERVIÇO AUTONOMO MUNICIPAL DE ÁGUA E ESGOTO DE POMERODE - SC;Autarquia;Consignet;Ativo;23/09/2024;22/06/2028
CON-1274;2272317;PR;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SERTANÓPOLIS - PR;Autarquia;Consignet;Ativo;23/09/2024;17/03/2027
CON-1273;2272315;MG;Fronteira - MG;Prefeitura Municipal;Consignet;Ativo;23/09/2024;06/05/2026
CON-1272;2272309;SP;Mongaguá - SP;Prefeitura Municipal;Consignet;Iniciando Renovação;23/09/2024;18/06/2025
CON-1271;2272297;PR;Atalaia - PR;Prefeitura Municipal;Consignet;Ativo;23/09/2024;26/07/2027
CON-1270;2272291;RS; INSTITUTO MUNICIPAL DE SEGURIDADE SOCIAL DE CAPÃO DA CANOA (IMSS)/RS;Instituto de Previdência;Consignet;Ativo;23/09/2024;04/10/2026
CON-1269;2271119;PR;CAIXA DE PREVIDÊNCIA SOCIAL DO SERVIDOR PÚBLICO DO MUNICÍPIO DE ASTORGA - PR;Instituto de Previdência;Consignet;Iniciando Renovação;22/08/2024;22/08/2025
CON-1268;2267386;RN;Campo Redondo - RN;Prefeitura Municipal;SP Consig;Iniciando Renovação;16/09/2024;02/09/2025
CON-1267;2266773;SC;Itapoã - SC;Prefeitura Municipal;Consignet;Ativo;16/09/2024;31/01/2029
CON-1266;2266762;BA;Jacobina - BA;Câmara Municipal;Fasitec;Ativo;16/09/2024;18/07/2029
CON-1265;2266752;SP;Guarujá Previdência ;Instituto de Previdência;SERPRO;Iniciando Renovação;06/09/2024;06/09/2025
CON-1264;2266493;MA;Timon - MA;Prefeitura Municipal;Consignet;Ativo;13/09/2024;13/09/2029
CON-1263;2264704;TO;PROCURADORIA-GERAL DE JUSTIÇA DO ESTADO DO TOCANTINS/TO ;Outros;Fácil;Ativo;12/01/2025;11/01/2026
CON-1262;2264694;PR;TERRA RICA/PR;Instituto de Previdência;Consignet;Ativo;16/10/2024;16/10/2029
CON-1261;2260443;SP;Avaré - SP;Prefeitura Municipal;Consignet;Iniciando Renovação;02/09/2024;02/09/2025
CON-1260;2249183;PB;Malta - PB;Prefeitura Municipal;PSA info;Inativo;29/08/2024;29/08/2024
CON-1259;2248228;AC;Bujari - AC;Prefeitura Municipal;Consignet;Ativo;05/06/2024;06/06/2029
CON-1258;2248074;RN;Lajes - RN;Prefeitura Municipal;SP Consig;Ativo;28/08/2024;28/08/2029
CON-1257;2248047;PR;São José das Palmeiras - PR;Prefeitura Municipal;Consignet;Ativo;23/08/2024;23/08/2029
CON-1256;2248035;PE;Jatobá - PE;Prefeitura Municipal;Fasitec;Ativo;26/08/2024;26/08/2029
CON-1255;2244004;BA;Jaborandi - BA;Prefeitura Municipal;Consignet;Ativo;23/08/2024;03/08/2027
CON-1254;2244003;BA;Correntina - BA;Prefeitura Municipal;Fasitec;Iniciando Renovação;23/08/2024;17/07/2025
CON-1253;2244002;PR;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MUNICIPAIS DE ARAPOTI - PR;Instituto de Previdência;Consignet;Ativo;23/08/2024;29/07/2029
CON-1252;2243998;SP;Taubaté - SP;Prefeitura Municipal;ConsigLog;Iniciando Renovação;12/08/2022;12/08/2025
CON-1251;2243995;RO;Seringueiras - RO ;Prefeitura Municipal;Consignet;Ativo;19/08/2024;19/08/2029
CON-1250;2242869;GO;Inhumas - GO;Prefeitura Municipal;Quantum;Iniciando Renovação;22/08/2024;22/08/2025
CON-1249;2242854;BA;Uauá - BA;Prefeitura Municipal;Fasitec;Ativo;22/08/2024;06/05/2027
CON-1248;2242853;PR;Agudos do Sul - PR;Prefeitura Municipal;Consignet;Iniciando Renovação;22/08/2024;31/07/2025
CON-1247;2242851;SP;Praia Grande - SP;Prefeitura Municipal;CIP;Ativo;22/08/2024;16/10/2028
CON-1246;2241794;RN;Consórcio Público Intermunicipal do Rio Grande do Norte - COPIRN;Outros;Fácil;Iniciando Renovação;20/08/2024;20/08/2025
CON-1245;2240703;RS;Formigueiro - RS;Prefeitura Municipal;Consignet;Ativo;12/08/2024;12/08/2029
CON-1243;2234725;PB;Cajazeiras - PB;Prefeitura Municipal;Fácil;Ativo;26/07/2024;26/07/2029
CON-1242;2234629;PR;Rolândia - PR;Prefeitura Municipal;Consignet;Ativo;03/07/2024;03/07/2029
CON-1241;2234623;PE;Solidão - PE;Prefeitura Municipal;ConsigLog;Ativo;22/07/2024;22/07/2029
CON-1240;2233558;SP;São Miguel Arcanjo - SP ;Prefeitura Municipal;Consignet;Ativo;31/07/2024;31/07/2029
CON-1239;2231950;MA;Alcântara - MA;Prefeitura Municipal;Fasitec;Ativo;06/08/2024;06/08/2029
CON-1238;2231949;PR;Santa Cruz do Monte Castelo - PR;Prefeitura Municipal;Consignet;Ativo;29/07/2024;29/08/2029
CON-1237;2231944;MS;Jaraguari - MS;Prefeitura Municipal;Consignet;Ativo;22/06/2023;22/06/2028
CON-1236;2230674;PR;Moreira Sales - PR;Prefeitura Municipal;Fasitec;Ativo;08/08/2024;05/09/2027
CON-1235;2230671;RS;Serrafina Correa - RS;Prefeitura Municipal;Consignet;Ativo;08/08/2024;23/05/2027
CON-1234;2230665;SP;Osasco - SP ;Prefeitura Municipal;ConsigLog;Ativo;08/08/2024;25/02/2027
CON-1233;2230649;MA;Santa Inês - MA;Prefeitura Municipal;BRTEC;Iniciando Renovação;08/07/2024;08/07/2025
CON-1232;2230208;SP;Superintendência de Água e Esgoto de Catanduva - SAEC - SP;Autarquia;Consignet;Ativo;05/08/2024;05/08/2029
CON-1231;2229716;SP;MUNICIPIO DE TAPIRATIBA/SP;Prefeitura Municipal;Consignet;Ativo;12/07/2024;11/07/2029
CON-1230;2229699;MT; MUNICIPIO DE SÃO JOSE DO RIO CLARO/MT;Prefeitura Municipal;Consignet;Ativo;31/07/2024;30/07/2029
CON-1229;2228227;RS;Camara Municipal de Alegrete - RS;Câmara Municipal;Consignet;Ativo;25/11/2024;23/11/2029
CON-1228;2226710;SP;Municipio Jahu - SP ;Prefeitura Municipal;Consignet;Inativo;01/08/2024;07/08/2024
CON-1227;2224216;PE;Instituto Previdenciário do Município de Ribeirão/PE;Instituto de Previdência;Consignet;Ativo;18/03/2024;18/03/2029
CON-1226;2221680;SP;SERVIÇO AUTONOMO DE ÁGUA E ESGOTO DE ITAPIRA-SAAE/SP;Autarquia;Consignet;Ativo;14/06/2024;14/06/2029
CON-1225;2221671;PA;SANTARÉM NOVO/PA;Prefeitura Municipal;RF1 Participações;Ativo;30/07/2024;30/07/2029
CON-1224;2221378;MT;Instituto de Previdência dos Servidores Municipais de Bonito /MT;Instituto de Previdência;Consignet;Ativo;07/08/2024;06/08/2029
CON-1223;2220790;TO;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES PÚBLICOS - SISPREV/TO;Instituto de Previdência;Consignet;Iniciando Renovação;05/07/2024;03/07/2025
CON-1222;2218233;SP;INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE TAPIRATIBA - TAPIRATIBAPREV - SP;Instituto de Previdência;Consignet;Ativo;23/07/2024;23/07/2029
CON-1221;2218230;PA;Itupiranga - PA;Prefeitura Municipal;NeoConsig;Ativo;18/07/2024;18/07/2029
CON-1220;2217030;PR;Itaperuçu - PR;Prefeitura Municipal;Consignet;Ativo;25/07/2024;20/07/2027
CON-1219;2217014;PE;Araripina - PE;Prefeitura Municipal;SP Consig;Inativo;25/07/2024;26/02/2025
CON-1218;2217001;CE;Aiuaba - CE;Prefeitura Municipal;Safe Consig;Ativo;20/05/2024;20/05/2029
CON-1217;2215856;PA;Oriximiná - PA;Prefeitura Municipal;Consignet;Ativo;03/07/2024;03/07/2029
CON-1216;2215853;MG;Nova Resende - MG;Prefeitura Municipal;Consignet;Ativo;24/06/2024;24/06/2029
CON-1215;2215841;MA;Defensoria Pública do Estado do Maranhão ;Governo de Estado;NeoConsig;Ativo;12/07/2024;12/07/2029
CON-1214;2214588;RN;Barcelona - RN;Prefeitura Municipal;Consignet;Ativo;03/07/2024;03/07/2029
CON-1213;2212484;PR;Bela Vista da Caroba - PR;Prefeitura Municipal;Consignet;Ativo;23/07/2024;23/07/2029
CON-1212;2212476;MA;Penalva - MA;Prefeitura Municipal;Fasitec;Ativo;18/07/2024;18/07/2029
CON-1211;2211329;SP;Pedregulho - SP;Prefeitura Municipal;SERPRO;Iniciando Renovação;21/06/2024;21/06/2025
CON-1210;2210573;MA;Pinheiro - MA;Prefeitura Municipal;Consignet;Ativo;06/06/2024;06/06/2029
CON-1209;2209585;AC;Cruzeiro do Sul - AC;Prefeitura Municipal;Consignet;Inativo;16/07/2024;16/07/2024
CON-1208;2209080;BA;Botuporã - BA;Prefeitura Municipal;Fasitec;Iniciando Renovação;16/07/2024;25/08/2025
CON-1207;2209069;BA;Quixabeira - BA;Prefeitura Municipal;Fasitec;Iniciando Renovação;16/07/2024;10/08/2025
CON-1206;2209058;BA;PONTO NOVO - IPPN - BA;Instituto de Previdência;Fasitec;Ativo;16/07/2024;03/04/2028
CON-1205;2209038;MG;Patos de Minas - MG;Prefeitura Municipal;SP Consig;Ativo;16/07/2024;18/04/2027
CON-1204;2209036;MG;Capinópolis - MG;Prefeitura Municipal;Consignet;Ativo;16/07/2024;16/12/2027
CON-1203;2209003;ES;Tribunal Regional do Trabalho da 17ª Região - TRT 17;Tribunal;Unitedtech;Ativo;16/07/2024;01/09/2026
CON-1202;2208995;MS;Terenos - MS;Prefeitura Municipal;Consignet;Ativo;01/07/2024;01/07/2029
CON-1201;2207974;MG;MUNICIPIO DE ESTIVA - MG;Prefeitura Municipal;Consignet;Ativo;13/06/2024;01/06/2029
CON-1200;2206684;PI;Palmeirais - PI;Prefeitura Municipal;Digital Consig;Ativo;12/07/2024;28/10/2026
CON-1199;2206599;SC;Arroio dos Ratos - RS;Prefeitura Municipal;Consignet;Inativo;12/07/2024;20/08/2024
CON-1198;2205852;AL;INSTITUTO MUNICIPAL DE PREVIDENCIA DE MESSIAS - MESSIASPREV - AL;Instituto de Previdência;Fasitec;Ativo;10/07/2024;10/07/2029
CON-1197;2205674;MA;Sítio Novo - MA;Prefeitura Municipal;Consignet;Ativo;11/07/2024;06/11/2025
CON-1196;2205662;PR;Mandirituba - PR;Prefeitura Municipal;Consignet;Ativo;11/07/2024;11/03/2026
CON-1195;2205649;PR;Jacarezinho - PR;Prefeitura Municipal;Fasitec;Ativo;11/07/2024;10/06/2029
CON-1194;2205646;PR;Rio Branco do Sul - PR;Prefeitura Municipal;Consignet;Ativo;11/07/2024;30/04/2026
CON-1193;2205640;SP;Colina - SP;Prefeitura Municipal;Consignet;Ativo;11/06/2024;11/06/2029
CON-1192;2204420;PB;Cuitegi - PB;Prefeitura Municipal;SP Consig;Inativo;10/07/2024;20/04/2025
CON-1191;2204322;CE;Pedra Branca - CE;Prefeitura Municipal;Digital Consig;Ativo;10/07/2024;18/01/2026
CON-1190;2204314;RO;Instituto de Previdência do Município de Vilhena - RO;Instituto de Previdência;Consignet;Ativo;10/07/2024;06/05/2029
CON-1189;2204309;SP;INSTITUTO MUNICIPAL DE SEGURIDADE SOCIAL DE PARAGUAÇU PAULISTA - SP;Instituto de Previdência;Consignet;Ativo;10/07/2024;04/01/2027
CON-1188;2204303;SP;Guareí - SP;Prefeitura Municipal;Consignet;Ativo;10/07/2024;06/03/2026
CON-1187;2204299;RS;Encantado - RS;Prefeitura Municipal;Consignet;Iniciando Renovação;10/07/2024;01/07/2025
CON-1186;2203661;PR;Penha Papeis Vivida Ltda.;Empresa Privada;Consignet;Ativo;09/07/2024;16/06/2028
CON-1185;2200864;RN;Macaíba - RN;Prefeitura Municipal;Safe Consig;Iniciando Renovação;03/07/2024;03/07/2025
CON-1184;2200512;SP;Rancharia - SP;Prefeitura Municipal;Consignet;Inativo;05/07/2024;02/02/2025
CON-1183;2200465;MT;Hospital Beneficente Santa Helena;Outros;Digital Consig;Ativo;05/07/2024;22/04/2027
CON-1182;2200349;MT;Conquista D'Oeste - MT;Prefeitura Municipal;Consignet;Ativo;18/06/2024;18/06/2029
CON-1181;2200335;SC;Laguna - SC;Prefeitura Municipal;Infoconsig;Ativo;05/07/2024;15/04/2026
CON-1180;2200323;PR;Candido de Abreu - PR;Prefeitura Municipal;Consignet;Ativo;05/07/2024;15/09/2027
CON-1179;2200320;SP;Bocaina - SP;Prefeitura Municipal;Consignet;Iniciando Renovação;05/07/2024;22/06/2025
CON-1178;2200318;SC;Navegantes - SC;Prefeitura Municipal;Consignet;Inativo;05/07/2024;03/10/2024
CON-1177;2200317;PR;Instituto de Previdência do Município de Piraquara - PR;Instituto de Previdência;Consignet;Inativo;05/07/2024;08/05/2025
CON-1176;2200313;SP;Lavínia - SP;Prefeitura Municipal;Consignet;Inativo;05/07/2024;21/11/2024
CON-1175;2200304;RN;Instituto de Previdência dos Servidores do Município de Macaíba - RN;Instituto de Previdência;Safe Consig;Iniciando Renovação;03/07/2024;03/07/2025
CON-1174;2199143;RN;Montanhas/RN;Prefeitura Municipal;SP Consig;Ativo;15/05/2024;15/05/2029
CON-1173;2199116;RN;Lagoa Nova - RN;Prefeitura Municipal;Fasitec;Ativo;03/07/2024;03/07/2029
CON-1172;2199084;PE;FUNPRESJE - Fundo Previdenciário do Município de São José do Egito - PE;Instituto de Previdência;SP Consig;Ativo;02/07/2024;02/07/2029
CON-1171;2197712;SC;Florianópolis - SC;Câmara Municipal;All Consig;Ativo;17/07/2024;17/07/2029
CON-1170;2197694;RR;Governo de Roraima ;Governo de Estado;GRID;Ativo;01/07/2024;01/07/2029
CON-1169;2197097;AP;Macapá - AP;Prefeitura Municipal;ConsigLog;Ativo;10/12/2024;10/12/2028
CON-1168;2195723;RJ;Maricá - RJ;Prefeitura Municipal;Consignet;Iniciando Renovação;27/06/2024;26/06/2025
CON-1167;2195086;RS;Panambi - RS;Prefeitura Municipal;Consignet;Inativo;01/07/2024;04/05/2025
CON-1166;2195068;MT;Rondonópolis - MT;Prefeitura Municipal;Digital Consig;Inativo;01/07/2024;02/10/2024
CON-1165;2195064;RS;PREVIDENCIA DE SANTANA DO LIVRAMENTO - SISPREM - RS;Instituto de Previdência;Consignet;Iniciando Renovação;13/03/2025;13/03/1930
CON-1164;2195057;MT;São José dos Quatro Marcos - MT;Prefeitura Municipal;Digital Consig;Ativo;01/07/2024;08/04/2029
CON-1163;2193198;MS;Bonito - MS;Prefeitura Municipal;Consignet;Ativo;11/06/2024;11/06/2029
CON-1162;2191801;SC;Presidente Venceslau - SP;Prefeitura Municipal;Consignet;Ativo;27/06/2024;17/04/2028
CON-1161;2191759;RO;Costa Marques - RO;Prefeitura Municipal;Consignet;Ativo;09/07/2024;09/07/2029
CON-1160;2191753;PR;INSTITUTO PREVIDÊNCIA E ASSISÊNCIA DO MUNICÍPIO DE QUERÊNCIA DO NORTE - PR;Instituto de Previdência;Consignet;Ativo;27/06/2025;27/07/2029
CON-1159;2191750;PB;Monte Horebe - PB;Prefeitura Municipal;SP Consig;Ativo;13/01/2023;13/01/2028
CON-1158;2190460;RJ;Instituto Servidores Cabo Frio - RJ  - IBASCAF ;Instituto de Previdência;Safe Consig;Iniciando Renovação;26/06/2024;26/06/2025
CON-1157;2188814;CE;INSTITUTO DE PREVIDÊNCIA DO MUNICÍPIO DE BOA VIAGEM - CE;Instituto de Previdência;Fácil;Ativo;25/06/2024;27/04/2028
CON-1156;2188807;CE;Tabuleiro do Norte - CE;Prefeitura Municipal;Digital Consig;Ativo;25/06/2024;02/02/2028
CON-1155;2188280;PA;Tomé-Açu - PA;Prefeitura Municipal;ConsigLog;Ativo;24/06/2024;27/10/2025
CON-1154;2188273;BA;CAMPO FORMOSO IPCF - BA;Instituto de Previdência;Fasitec;Inativo;24/06/2024;25/01/2025
CON-1153;2186421;PR;Querência do Norte - PR;Prefeitura Municipal;Consignet;Ativo;05/06/2024;05/06/2029
CON-1152;2185236;BA;Serra Ramalho - BA;Prefeitura Municipal;Fasitec;Ativo;20/06/2024;14/04/2028
CON-1151;2185118;SP;Lins - SP;Prefeitura Municipal;Consignet;Ativo;02/05/2024;02/05/2029
CON-1150;2185076;MA;Rosário - MA;Prefeitura Municipal;Safe Consig;Ativo;18/06/2024;18/06/2029
CON-1149;2184654;CE;Granjeiro - CE;Prefeitura Municipal;Safe Consig;Ativo;19/06/2024;10/08/2026
CON-1148;2184646;SC;Samae (Serviço Autônomo Municipal de Água e Esgoto) de Gaspar - SC;Outros;Infoconsig;Inativo;19/06/2024;06/04/2025
CON-1147;2184640;PR;FUNDO DE PENSÕES DOS SERVIDORES MUNICIPAIS DE JANIOPOLIS - PR;Instituto de Previdência;Consignet;Ativo;19/06/2024;21/12/2026
CON-1146;2184618;RS;Hospital Bom Pastor Ijuí - RS;Outros;Lucas/Siga TI;Ativo;19/06/2024;13/12/2029
CON-1145;2184528;GO;Cocalzinho de Goiás - GO;Prefeitura Municipal;Consignet;Ativo;19/06/2024;25/11/2025
CON-1144;2184518;SP;Embu-Guaçu - SP;Prefeitura Municipal;ConsigLog;Ativo;19/06/2024;02/02/2026
CON-1143;2184506;SC;Laurentino - SC;Prefeitura Municipal;Consignet;Ativo;19/06/2024;10/02/2028
CON-1142;2184497;SP;Mococa - SP;Prefeitura Municipal;Consignet;Ativo;19/06/2024;24/05/2026
CON-1141;2184496;PB;São José da Lagoa Tapada - PB;Prefeitura Municipal;SP Consig;Inativo;19/06/2024;04/06/2025
CON-1140;2184491;SP;Rosana - SP;Prefeitura Municipal;Unitedtech;Ativo;19/06/2024;09/04/2029
CON-1139;2184095;RN;Riacho da Cruz - RN;Prefeitura Municipal;SP Consig;Ativo;19/06/2024;19/06/2029
CON-1138;2182633;PE;Serra Talhada - PE;Prefeitura Municipal;Fácil;Ativo;18/06/2024;18/06/2029
CON-1137;2182564;RN;Maxaranguape - RN;Prefeitura Municipal;SP Consig;Ativo;17/06/2024;17/06/2029
CON-1136;2182553;RN;Jaçanã - RN;Prefeitura Municipal;Consignet;Ativo;12/06/2024;12/06/2029
CON-1134;2181742;SP;Previ Guapiaçu - SP;Instituto de Previdência;Consignet;Inativo;17/06/2024;24/04/2025
CON-1133;2181737;BA;Serra Preta - BA ;Prefeitura Municipal;Fasitec;Ativo;17/06/2024;10/09/2026
CON-1132;2181725;SP;Barra de Santa Rosa - PB;Prefeitura Municipal;SP Consig;Ativo;17/06/2024;19/08/2026
CON-1131;2181721;GO;Águas Frias - GO;Prefeitura Municipal;Digital Consig;Inativo;17/06/2024;23/12/2024
CON-1130;2181719;BA;Macaúbas - BA;Prefeitura Municipal;NewVersion;Ativo;17/06/2024;16/03/2026
CON-1129;2181662;SP;FUNDO DE PREVIDÊNCIA DO MUNICIPIO DE ITAPEVI - ITAPEVIPREV/SP;Instituto de Previdência;Consignet;Ativo;10/06/2024;10/06/2029
CON-1128;2181254;RJ;Tribunal de Justiça do Rio de Janeiro - TJRJ;Tribunal;Fácil;Iniciando Renovação;17/06/2024;21/08/2025
CON-1127;2178677;MA;Tuntum - MA;Prefeitura Municipal;Safe Consig;Ativo;13/06/2024;16/03/2027
CON-1126;2178674;SP;Cabrália Paulista - SP;Prefeitura Municipal;Consignet;Inativo;13/06/2024;24/04/2025
CON-1125;2178671;MT;Chapada dos Guimarães - MT;Prefeitura Municipal;Digital Consig;Ativo;13/06/2024;19/03/2029
CON-1124;2178661;MS;INSTITUTO DE PREVIDÊNCIA SOCIAL DOS SERVIDORES MUNICIPAIS DE ELDORADO - MS;Instituto de Previdência;Fasitec;Ativo;12/06/2024;12/06/2029
CON-1123;2178650;MG;Governador Valadares - MG;Prefeitura Municipal;NeoConsig;Inativo;12/06/2024;13/06/2024
CON-1122;2178641;PR;Itambaracá - PR;Prefeitura Municipal;Fasitec;Ativo;11/06/2024;11/06/2029
CON-1121;2178639;AL;Rio Largo - AL;Prefeitura Municipal;Fasitec;Ativo;11/06/2024;11/06/2029
CON-1120;2177736;PR;Ventania - PR;Prefeitura Municipal;Consignet;Inativo;12/06/2024;17/04/2025
CON-1119;2177734;MS;FUNDAÇÃO DE PREVIDÊNCIA DOS SERVIDORES PUBLICOS MUNICIPAIS DE MUNDO NOVO/MS - FUNPREMN;Instituto de Previdência;Consignet;Ativo;12/06/2024;26/01/2027
CON-1118;2177730;MA;Vargem Grande - MA;Prefeitura Municipal;ASBAN;Inativo;12/06/2024;23/05/2025
CON-1117;2176655;PR;FUNDO DE PREVIDÊNCIA MUNICIPAL DE IVATUBA - FPMI - PR;Instituto de Previdência;Consignet;Ativo;13/04/2024;13/04/2029
CON-1116;2176646;PR;Ivatuba/PR;Prefeitura Municipal;Consignet;Ativo;13/04/2024;13/04/2029
CON-1115;2176629;PR;Salgado Filho - PR;Prefeitura Municipal;Consignet;Ativo;23/04/2024;23/04/2029
CON-1114;2176606;PE;Bezerros - PE;Prefeitura Municipal;SP Consig;Inativo;11/06/2024;12/01/2025
CON-1113;2176599;SE;Nossa Senhora do Socorro - SE;Prefeitura Municipal;NewVersion;Ativo;11/06/2024;10/02/2026
CON-1112;2176540;RS;Nonoai - RS;Prefeitura Municipal;BRTEC;Ativo;08/04/2024;08/04/2029
CON-1111;2176516;MA;Anapurus - MA;Prefeitura Municipal;Konéxia;Ativo;18/06/2024;18/06/2029
CON-1110;2175513;PE;Secretaria de Estado de Saúde de Pernambuco;Autarquia;Montreal;Iniciando Renovação;10/06/2024;09/06/2025
CON-1109;2175457;MT;Nova Guarita - MT;Prefeitura Municipal;Consignet;Ativo;03/06/2024;03/06/2029
CON-1108;2175448;PI;Miguel Leão - PI;Prefeitura Municipal;Consignet;Ativo;13/03/2024;13/03/2029
CON-1107;2173970;PI;Regeneração - PI;Prefeitura Municipal;Consignet;Ativo;24/05/2024;24/05/2029
CON-1106;2171163;RO;SAAE - Município Alto Alegre dos Parecis - RO;Outros;Consignet;Ativo;20/05/2024;20/05/2029
CON-1105;2171158;MT;Regime Proprio de Previdência de Novo Mundo - MT;Instituto de Previdência;Consignet;Inativo;05/06/2024;05/06/2025
CON-1104;2168653;RN;Arez - RN;Prefeitura Municipal;SP Consig;Ativo;21/05/2024;21/05/2029
CON-1103;2165649;SP;Municipio Itapevi - SP ;Prefeitura Municipal;Consignet;Ativo;22/05/2024;22/05/2029
CON-1102;2165646;PR;Terra Rica - PR;Prefeitura Municipal;Consignet;Ativo;20/06/2024;20/06/2029
CON-1101;2165629;MS;DE ANTONIO JOAO-IMPS - MS;Instituição Financeira;Fasitec;Ativo;29/05/2024;29/05/2029
CON-1100;2162520;MA;Santa Filomena do Maranhão - MA ;Prefeitura Municipal;Safe Consig;Inativo;23/05/2024;31/12/2024
CON-1099;2161419;ES;BANCO DO ESTADO DO ESPÍRITO SANTO - BANESTES;Instituição Financeira;Quantum;Inativo;27/05/2024;27/05/2024
CON-1098;2161198;MT;Jauru - MT;Câmara Municipal;Consignet;Ativo;15/05/2024;15/05/2029
CON-1097;2159974;BA;SEMGE - Prefeitura Municipal de Salvador;Prefeitura Municipal;ConsigLog;Inativo;24/05/2024;24/05/2024
CON-1096;2159944;MT;MUNICIPIO DE JAURU/MT;Prefeitura Municipal;Consignet;Ativo;02/04/2024;02/04/2029
CON-1095;2159627;RO;Ministro Andreazza - RO ;Prefeitura Municipal;Consignet;Ativo;31/05/2024;31/05/2029
CON-1094;2158907;GO;Camara Municipal de Serranópolis - GO;Câmara Municipal;Consignet;Ativo;21/05/2024;21/05/2029
CON-1093;2157551;PR;Instituto de Previdência Terra Roxa - Previsterra -PR;Instituto de Previdência;Consignet;Ativo;30/04/2024;30/04/2029
